"Name of Agency","Address","Phone","Fax","Email","Region","City","State","Contact Person","TYPE"
"M/S ST.JUDE TRAVELS & TOURS","""No. 8 & 9, First Floor,Marthoma Church Complex Goal Ghar""","""03192-243677""","03192-244930","jude_travels@hotmail.com","East","PORT BLAIR","Andman & Nicobar","MR.JESSY TERENCE","Travel Agent"
"M/S. HEAT TRAVELS & TOURS (INDIA) PVT. LTD.","""Shiv Mahal, 34, Bidyasagar Road, Khalpara,,Siliguri""","""0353 - 2504 631, 0353 - 2504 632""","0353 - 2503 630","heat@sancharnet.in","East","SILIGURI","West Bengal","MR DEEPAK GUPTA","Travel Agent"
"M/S PLEASURE TOURS(A DIVISION OF M/S KRAFTS PALACE","""HO. 47 - B, G. C. Road""","""0562-2364103""","0562-2364103","NA","North","AGRA","Uttar Pradesh","MR.ASHOK JAIN","Travel Agent"
"M/S. PREET TRAVELS (REGD.)","""138, Golden Cloth Market, O/s Sultanwind Gate,Amritsar""","""0183 - 2582 432, 0183 - 2582 975""","0183 - 5096 406","preetatq@yahoo.com","North","AMRITSAR","Punjab","MR. KIRPAL SINGH","Travel Agent"
"M/S. AADISH TOUR & TRAVELS","""S.C.O. 371 - 372, 2nd Floor, Sector - 35 - B,Above HDFC Bank""","""0172 - 5062 102, 0172 - 2621 371""","NA","NA","North","CHANDIGARH","Punjab","MR. AMIT JAIN","Travel Agent"
"M/S. PAUL MERCHANTS LTD.(TRAVEL DIVISION)","""PML, House, SCO 829 - 830, Sector - 22 - A,Chandigarh""","""0172 - 5025 090, 0172 - 5041 786""","0172 - 5041 754","info@paulmerchants.net","North","CHANDIGARH","Punjab","MR. SANDEEP KHETARPAL","Travel Agent"
"M/S. SHEETAL TRAVELS","""S.C.O. 154 - 155, Ground Floor,,Opposite D.C. Office, Sector 17 -C""","""0172 - 2714 422, 0172 - 2714 678""","0172 - 5018 542","sheetaltravel@hotmail.com","North","CHANDIGARH","Chandigarh","MR. VANEET SHARMA","Travel Agent"
"M/S. GRAND TRAVELS PLANNERS (P) LTD.","""14-16,F.F., SCO-55-56,Sector 17c""","""0172-4687777, 0172-2703059""","0172-2701800","umesh@grandtravelplanners.com","North","CHANDIGARH","Chandigarh","MR.UMESH KAPUR","Travel Agent"
"M/S PRESIDENT TRAVEL SERVICE","""45,Rajpur Road,(HEAD OFFICE)""","""0135- 714 212, 0135- 655111""","0135- 2658 210","prestrav@sancharnet.in","North","DEHRADUN","Uttaranchal","MR.A.S CHUGH","Travel Agent"
"M/S. JAI SHREE HOLIDAYS & TOURS (P.) LTD.","""Shop No. 14, A - Block, DDA Market, Saraswati,Vihar, Pitampura,""","""011 - 3130 1616, 011 - 2702 1659""","NA","jaishreeholidays@gmail.com","North","DELHI","Delhi","MR. AJAY AGGARWAL","Travel Agent"
"M/S. AADYA E TRAVEL (A UNIT OF PC TRAINING INSTITUTE LTD.,)","""RU - 7, 2nd Floor, RU Block, DDA Commercial,Complex, Pitampura""","""011 - 4751 0411, 011 - 4751 0422""","011 - 4759 1499","aet@petiltd.com","North","DELHI","Delhi","MR. ANIL AGARWAL","Travel Agent"
"M/S. RISING STAR TOURS & TRAVELS","""Suite No. 112, Durga Place, L.S.C. DDA Market,Pocket - B, Ashok Vihar, Phase - III""","""011 - 4701 1111""","011 - 2722 7919","info@traveldham.com","North","DELHI","Delhi","MR. AMIT JAIN","Travel Agent"
"M/S. PINKI TOURS & TRAVELS (REGD.)","""C - 3, Wazirpur Industrial Area""","""011 - 4744 4555, 011 - 2737 6802""","011 - 4247 5605","pinkitours12@yahoo.com","North","DELHI","Delhi","MR. D. P. GUPTA","Travel Agent"
"M/S. SUN & MOON TRAVELS (INDIA) PVT. LTD.","""Escorts Corporation Centre, 15/5, Mathura Road,,Faridabad""","""0129 - 4143 821, 0129-4143 823""","0129-4143 824","sunnmoontravels@gmail.com","North","FARIDABAD","Haryana","MR. RAJESH VASUDEVAN","Travel Agent"
"M/S DOLPHIN TRAVELS PVT.LTD","""112,Stayam Raj Nagar,District Center,Ghaziabad (Head Office)""","""95120-2824 454, 95120-2824 484""","95120-2822470","dolphintravels3@hotmail.com","North","GHAZIABAD","Uttar Pradesh","MR.DEEPAK VIG","Travel Agent"
"M/S. SAHARA GLOBAL (A UNIT OF SAHARA INFRASTRUCTURE & HOUSING LIMITED)","""Tower ' A',II nd Floor, DLF Infinity Towers,DLF Phase -II, Gurgaon""","""0124 - 431 8888""","0124 - 410 7270","vinay.khanna@saharaglobal.in","North","GURGAON","Haryana","MR.ROMI DATTA","Travel Agent"
"M/S. TRAVEL SOLUTIONS","""O - 133, DLF Shopping Mall, DLF Phase - I,,Arjun Marg, Gurgaon""","""0124 - 4717 500""","0124 - 4717 555","info@travsol.in","North","GURGAON","Haryana","MR. PRADEEP PAREKH","Travel Agent"
"M/S. ROUTES TRAVEL LTD.","""132, Qutab Plaza, First Floor, DLF Qutab Enclave,,Phase - 1, Gurgaon (Head Office)""","""0124 - 236 4370""","0124 - 235 9579","atbggn@uniglobeatb.com","North","GURGAON","Haryana","MR. ANIL SAXENA","Travel Agent"
"M/S. NAINIKA TOURS & TRAVELS P. LTD.","""304, Geeta Enclave, Vinoba Marg, M.I. Road""","""0141 - 2376 485, 0141 - 5113 844""","0141 - 2361 408","sangood2003@yahoo.co.in","North","JAIPUR","Rajasthan","MR. SANJEEV GODHA","Travel Agent"
"M/S. RIYA TRAVEL & TOURS (INDIA) PVT. LTD.","""143, First Floor, Ganpati Plaza,,M. I Road, Jaipur (Branch Office)""","""0141 - 4004 000, 0141 - 4004 001""","0141 - 4004 004","info@riyagroup.travel","North","JAIPUR","Rajasthan","MR. GIRDHARI SHARMA","Travel Agent"
"M/S. RITCO TRAVELS (A DIVISION OF TRANSCORP. INTERNATIONAL LIMITED)","""2nd Floor, Meghalaya Tower, Church Road,,""","""0141 -2363 999, 0141 -2363 888""","0141 - 2372 066","corp@transcorpint.com","North","JAIPUR","Rajasthan","MR. DILIP KUMAR MORWAL","Travel Agent"
"M/S. BHARTI TRAVEL ADVISOR (REGD.)","""Doaba Marker, Opposite General Bus Stand,Near Punjab, Roadways Depot No. 1, Jalandhar""","""0181 - 2231 038, 0181 - 2232 667""","0181- 5073 370","narinder_bharti@hotmail.com","North","JALANDHAR","Punjab","MR. NARINDER DAVESAR","Travel Agent"
"M/S. SEHDEV TRAVEL & EDUCATIONAL SERVICES (REGD).","""S.C.O. 1/6 - C, New Market, Behind Narinder Cinema,Jalandhar""","""0181- 5080 435, 0181 - 5080 436""","0181 - 5080 437","dsehdev@jla.vsnl.net.in","North","JALANDHAR","Punjab","MR. DIVYA SEHDEV","Travel Agent"
"M/S. RIYA TRAVEL & TOURS (INDIA) PVT. LTD.","""38 - B, G. T. Road, Opp. Bus Stand, Jalandhar,(Branch Office)""","""0181 - 4680 000, 0181 - 4680 001""","0181 - 4680 008","info.qju@riyagroup.travel","North","JALANDHAR","Punjab","MR. R.K.SHARMA","Travel Agent"
"M/S. WORLD TRAVELS (REGD.)","""15 - Sutlej Market, Near General Bus Stand,G.T. Road, Jalandhar""","""0181 - 4680 888""","0181 - 2220 699","worldtravelsonline.com","North","JALANDHAR","Punjab","MR. ANIL KANDHARI","Travel Agent"
"M/S. KANDHARI TRAVELS (P) LTD.","""9, Sutlej Maket, G.T. Road, Near Bus Stand,Jalandhar""","""0181 - 2452 213, 0181 - 2234 924""","0181 - 5063 138","kandhari_travels@yahoo.co.in","North","JALANDHAR","Punjab","MR. ANIL KANDHARI","Travel Agent"
"M/S. SANGHA FLIGHT CENTRE","""917, G. T. Road, Nimrata Complex, Near Wimpy""","""0181 - 2452 547, 0181 - 2452 548""","0181 - 2221 771","stc@vsnl.net","North","JALANDHAR","Punjab","MR. MEHARBAN SINGH SANGHA","Travel Agent"
"M/S. RICHI TRAVELS","""#301, IInd Floor, Delta Chambers,35, G.T.Road, Jalandhar""","""0181 - 469 9999""","0181 - 469 9988","info@richitravels.in","North","JALANDHAR","Punjab","MR. SATPAL MULTANI","Travel Agent"
"M/S. MAYFAIR AIRTRAVEL SERVICES PVT LTD.","""1st Floor, Mayfair Building, Hazratganj,,Lucknow""","""0522 - 3018 600""","0522 - 2612 619","lucknow@mayfair.co.in","North","LUCKNOW","Uttar Pradesh","MR. SHARAD THADANI","Travel Agent"
"M/S. MIRZA TOUR & TRAVEL","""UG: 28 - 29, Avadh Point, Nakkhas Crossing,,Lucknow""","""0522 - 2240 381, 0522 - 2240 580""","0522 - 2251 299","mirzatour_travel@hotmail.com","North","LUCKNOW","Uttar Pradesh","MR. MIRZA MOHAMMAD HALEEM","Travel Agent"
"M/S. RIYA TRAVEL & TOURS (INDIA) PVT. LTD.","""206, Chintels House, 16 Station Road,Lucknow (Branch Office)""","""0522 - 4030 000, 0522 - 4030 001""","0522 - 4030 003","info.lko@riyagroup.travel","North","LUCKNOW","Uttar Pradesh","MS. KIRTI KR. SRIVASTAVA","Travel Agent"
"M/S. ANDAMAN SERVICES ( AIR TRAVEL AGENT & TOUR OPERATOR)","""F - 3, Arihant Archade Opp. Sumit Nursing Home,Central Market, Shastru Nagar, Meerut""","""0121 - 2768 143, 0121 - 2602 143""","0121 - 2703 469","andamanservices@yahoo.co.uk","North","MEERUT","Uttar Pradesh","MR. NADEEM RIZWI","Travel Agent"
"M/S. GURU NANAK TRAVEL ADVISERS (REGD.)","""1, New Sodhi Nagar, Katcha Zira Road,Moga""","""01636 - 235251, 01636 - 235 252""","01636 - 500 254","gntamoga@yahoo.com","North","MOGA","Punjab","MR. SARBJIT SINGH","Travel Agent"
"M/S. GILL WORLD TRAVEL (REGD.)","""Palika Bazar, Main Road, Nawanshar""","""01823 - 222 393, 01823 - 509 393""","01823 - 508 016","gillworldtravel@hotmail.com","North","NAWANSHAR","Punjab","MR. GURBAX SINGH GILL","Travel Agent"
"M/S. SHARP TRAVELS (INDIA) LTD.","""111 - 113, Somdutt Chambers - II, 9,,Bhikaji Cama Place""","""011 - 4600 5555""","011 - 2618 4045","sharp@spectranet.com","North","NEW DELHI","Delhi","MR. ABHISHEK GUPTA","Travel Agent"
"M/S. TSI - TRAVEL SERVICES INTERNATIONAL PVT.LTD.","""506 - 507, Kailash Building, 26,,Kasturba Gandhi Marg""","""011 - 4222 6200""","011 - 4222 6210","info@tsi.co.in","North","NEW DELHI","Delhi","MR. PRAVEEN CHAUGH","Travel Agent"
"M/S. AIR CRUISE TRAVELS (P) LTD.","""C - 101 - 102, Lajpat Nagar - I""","""011 - 4655 6000""","011 - 4655 6050","info@aircruise.co.in","North","NEW DELHI","Delhi","MR. VIPIN SHARMA","Travel Agent"
"M/S. TRAVEL 2000 (INTERNATIONAL TOURS & TICKETING)","""13, Mohan Singh Place, Connaught Place""","""011 - 4228 8888""","011 - 4228 8898","travel2000_1@yahoo.com","North","NEW DELHI","Delhi","MR. AMANDEEP SINGH","Travel Agent"
"M/S. DGs TRAVEL HOUSE PVT. LTD.","""285, Anarkali Complex, Jhandewalan Extension,""","""011 - 4351 5891, 011 - 4351 5892""","011 - 4351 5896","dgupta@dgstravelhouse.com","North","NEW DELHI","Delhi","MR. DALIP GUPTA","Travel Agent"
"M/S. ASHLIN TRAVELS (P) LTD.","""64, Yashwant Place, Chanakya Puri""","""011 - 2410 6677, 011 - 2467 6677""","011 - 2410 7927","admin@ashlintravels.com","North","NEW DELHI","Delhi","MR. B. K. JAIN","Travel Agent"
"M/S. DEWAN TRAVELS (P) LTD.","""1205, Kailash Building, K.G. Marg,,Connaught Place""","""011 -4322 4322""","011 - 2335 2121","support@dewanholidays.com","North","NEW DELHI","Delhi","MR. S. K. DEWAN","Travel Agent"
"M/S STATE EXPRESS TOURS (P) LTD.","""101, Bhanot House, 17,Gulmohar Enclave Ext.""","""011 - 2685 5483, 011 - 2652 4006""","011 - 2686 8552","statexp@del2.vsnl.net.in","North","NEW DELHI","Delhi","MR. SANJEEV CHANDRA","Travel Agent"
"M/S AASHMAN AIR TRAVELS PRIVATE LIMITED","""1513, 2nd Floor, Gumanpuri Complex,,Bhishm Pitamah Marg""","""011- 4077 5700, 011 - 4077 5799""","011 - 2463 5433","chitra@uniglobeaashmantravel.c","North","NEW DELHI","Delhi","MRS. CHITRA BHATIA","Travel Agent"
"M/S. BUSINESS TRAVELS PVT. LTD.","""No.1, Community Centre, Iind Floor,East of Kailash""","""011 - 2643 1706, 011 - 2643 1707""","011 - 2621 3420","business@ndb.vsnl.net.in","North","NEW DELHI","Delhi","MR B. G. MENON","Travel Agent"
"M/S PARADISE TOUR COMPANY (INDIA) PVT. LTD.","""BG - 8/211, DDA, Commercial Complex,Paschim Vihar""","""011-4505 0505, 011-4505 0500""","011-4505 0555","ptc@airtelmail.in","North","NEW DELHI","Delhi","MR. RAVI GUPTA","Travel Agent"
"M/S TTP TRAVELS PVT. LTD.","""G - 55, 1st Floor, Connaught Circus""","""011-4359 2741, 011-2332 1542""","011-4359 2751","sales@travelppl.com","North","NEW DELHI","Delhi","COL. (RETD). R.S.THAKUR","Travel Agent"
"M/S ARRANGE TRAVELS","""22/65, Lower Ground Floor,West Patel Nagar""","""011-51523145, 011-51523148""","011-51523144","info@travelindia-holidays.com","North","NEW DELHI","Delhi","SATPAL SINGH","Travel Agent"
"M/S ATLANTA TRAVELS PVT. LTD.","""M - 23, Connaught Circus""","""011 - 2341 8346, 011 - 2341 5565""","011 - 2341 7345","atlanta3@vsnl.com","North","NEW DELHI","Delhi","MR. RAKESH AWASTHI","Travel Agent"
"M/S. PEARL INTERNATIONAL TOURS & TRAVELS LTD.","""9th Floor, Rohit House, 3, Tolstoy Marg,Connaught Place""","""011 - 4376 2100, 011 - 2372 5826""","011 - 2331 4109","travelwithpearl.com","North","NEW DELHI","Delhi","MR. SUNIL KHANNA","Travel Agent"
"M/S. GLOBE TROTTERS PRIVATE LIMTED","""Ground Floor, 12, Prakashdeep Building,,7, Tolstoy Marg""","""011 - 2335 0435, 011 - 2335 7979""","011 - 2373 6778","globetrotters@vsnl.com","North","NEW DELHI","Delhi","MR. AKHIL KUMAR AGARWAL","Travel Agent"
"M/S. PRAKHAR TRAVELS","""201/4, Sona Apartments, Hauz Khas""","""011 - 4265 7000, 011 - 2686 7202""","011 - 4265 7000","prakhartravels@gmail.com","North","NEW DELHI","Delhi","MR. NAMRATA DHIR","Travel Agent"
"M/S. FLIGHT CENTER TRAVELS PRIVATE LIMITED","""B - 7, Extn./63, Safdarjung Enclave""","""011 - 4165 3060""","011 - 4165 3020","info@flightcentertravels.com","North","NEW DELHI","Delhi","MR. AJAY S. GUPTA","Travel Agent"
"M/S. AIRWORTH TRAVEL & TOURS PRIVATE LIMITED","""506, Manisha Building, 75 - 76, Nehru Place""","""011 - 2644 7171, 011 - 2644 7173""","011 - 2644 7172","email@airworth.com","North","NEW DELHI","Delhi","MR. GAURAV MEHRA","Travel Agent"
"M/S. WELGROW TRAVELS (P) LTD.","""B - 6, Geetanjali Enclave""","""011 - 2669 1403, 011 - 2669 2403""","011 - 2669 2375","vicky@welgrowgroup.com","North","NEW DELHI","Delhi","MS. RADHIKA KHANIJO","Travel Agent"
"M/S. FANTASY TRAVELS & TOURS PVT. LTD.","""208 - 209, Madhuban Building, 55, Nehru Place""","""011 - 4160 7435, 011 - 4160 7439""","011 - 4160 7441","fantasytravels@vsnl.com","North","NEW DELHI","Delhi","MR. SHAILENDRA KUMAR","Travel Agent"
"M/S. SWIFTTRAVEL INTERNATIONAL PVT. LTD.","""Rai House, P - 23/90, Connaught Circus""","""011 - 2334 7616, 011 - 2334 7617""","011 - 2334 7618","shivaz.rai@bol.net.in","North","NEW DELHI","Delhi","MR. RAJINDER RAI","Travel Agent"
"M/S. TRIP TRAVELS PVT. LTD., (A UNIT OF RANS GROUP OF COMPANIES)","""105, Rohit House, 3, Tolstoy Marg,,Connaught Place""","""011 - 4150 4004, 011 - 4150 4005""","011 - 2335 6342","info@triptravels.co.in","North","NEW DELHI","Delhi","MR. SHASHI KUMAR MAHAJAN","Travel Agent"
"M/S. SAHIBJI TRAVELS & TOURS (P) LTD.","""68 / 2276, 1st Floor, Gurudwara Road,Karol Bagh""","""011 - 4000 5000, 011 - 4563 4563""","011 - 2875 7330","sales@sahibjitravels.com","North","NEW DELHI","Delhi","MR. GURUSAHIB SINGH SETHI","Travel Agent"
"M/S. AIRBORNE TRAVELS PVT. LTD.","""A - 179, Saini Bhawan, Bhishampitamah Marg""","""011 - 4650 5050, 011 - 4650 5051""","011 - 4650 5060","sanjayairborne@vsnl.net","North","NEW DELHI","Delhi","MR. SANJAY DATTA","Travel Agent"
"M/S. THOMAS COOK (INDIA) LTD.","""Rishya Mook Building, 85/A,,Panchkuin Road (Branch Office)""","""NA""","NA","NA","North","NEW DELHI","Delhi","MRS.KHURSHID JUSSAWALLA","Travel Agent"
"M/S. STAR AIRWAYS PVT. LTD.","""2282/69, 2nd Floor, Star Plaza, Naiwala,,Gurudwara Road Chowk, Karol Bagh""","""011 - 2875 1699, 011 - 2875 0184""","011 - 2875 2243","starairways@yahoo.com","North","NEW DELHI","Delhi","MR. KANWALJIT SINGH","Travel Agent"
"M/S. KUONI BUSINESS TRAVEL INDIA PVT. LTD.","""F - 12, Connaught Place,Head Office""","""011 - 2331 1122, 011 - 2331 1133""","011 - 2331 1408","NA","North","NEW DELHI","Delhi","MR. MALVINDER SINGH RIKHY","Travel Agent"
"M/S. H.I.P TRAVELS PVT. LTD.","""9A / 1, Third Floor, W.E.A., Karol Bagh,Adjacent to Channa Market""","""011 - 582 6961, 011 - 582 6962""","NA","hiptrvls@hotmail.com","North","NEW DELHI","Delhi","MRS. HARJEET","Travel Agent"
"M/S. LUMAX TOURS & TRAVELS LTD.","""B - 85 - 86, Mayapuri Industrial Area,,Phase - I""","""011 - 28111975, 011 - 2811 1777""","011 - 2811 5779","info@lumaxtravel.com","North","NEW DELHI","Delhi","MRS. POYSHA GOYAL JAIN","Travel Agent"
"M/S. MAESTRO TOUR & TRAVELS (INDIA) PVT. LTD.","""#125 -126, Somdutt Chambers - II,9. Bhikaji Cama Place""","""011 - 2618 0223, 011 - 2618 0224""","011 - 2618 0227","visa@maestrotravels.co.in","North","NEW DELHI","Delhi","MR. KEHAR RAJPUT","Travel Agent"
"M/S. NAMASTE AIR SERVICES (P) LTD.","""124, FF, Benito Juarez Marg,,Opp. Sri Venkateshwara College, Satya Niketan""","""011 - 2410 9500""","011 - 2410 9600","info@namasteairservices.com","North","NEW DELHI","Delhi","MRS. APARNA RAO","Travel Agent"
"M/S. INTER SKYLINKS (INDIA) PVT. LTD.","""73, Satya Niketan, Ground Floor""","""011 - 2410 3531, 011 - 2410 3532""","011 - 2410 3530","holidays@skylinks.in","North","NEW DELHI","Delhi","MR. JAGDEEP S. RIKHY","Travel Agent"
"M/S. SPRING TRAVELS PVT. LTD.","""310, Ambika Vihar, Paschim Vihar""","""011 - 4040 4040""","011 - 4233 4928","info@vinnytours.com","North","NEW DELHI","Delhi","MR. MANDEEP SINGH ANAND","Travel Agent"
"M/S. D. PAUL'S TRAVEL & TOURS (TRAVEL DIVISION OF D.PAULS CONSUMER BENEFIT","""193, Mohan Singh Market, I.N.A.""","""011 - 2464 1830, 011 - 2462 3041""","011 - 6621 1168","rishi@dpaulstravel.com","North","NEW DELHI","Delhi","MR. RAGHUVINDER PAL SINGH","Travel Agent"
"M/S. INTERGLOBE ENTERPRISES LIMITED","""Central Wing, Ground Floor & 1st Floor,,Thapar House, 124, Janpath""","""0124 - 235 8201""","0124 - 235 7554","pooja.minocha@interglobe.com","North","NEW DELHI","Delhi","MS. POOJA MINOCHA","Travel Agent"
"M/S. SENATOR TRAVELS PVT.LTD.","""2K, DCM Building, 16, Barakhamba Road,,""","""011 - 2371 3435, 011 - 2371 3436""","011 - 2371 3848","senator2@vsnl.com","North","NEW DELHI","Delhi","MR. SANJAY VARMA","Travel Agent"
"M/S. RELIGARE TRAVELS (INDIA) LIMITED","""G - 4, Second Floor, Hauz Khas""","""011 - 2653 5545""","011 - 2653 5543","singh.kamal@religarevoyages.co","North","NEW DELHI","Delhi","MR. C. PURNA CHANDRA RAO","Travel Agent"
"M/S. PRINCESS TRAVEL SERVICES","""UGF - 31 - 30, Ansal Chambers - I,,3, Bhikaji Cama Place""","""011 - 2616 2000, 011 - 2617 1810""","011 - 2616 2000","princess.travels@gmail.com","North","NEW DELHI","Delhi","MR. S. M. GUPTA","Travel Agent"
"M/S. NICKAIR INC. (THE TRAVEL MANAGEMENT CO.)","""G4 - B, Aashirwad Complex, D - 1, Green Park""","""011 - 2686 1292, 011 - 2686 1293""","011 - 2686 1294","nickairinc@yahoo.co.in","North","NEW DELHI","Delhi","MR. UMESH DANWANI","Travel Agent"
"M/S CORPORATE TRAVEL (P)LTD","""A-178, 2nd Floor, Saini Bhawan,Sukhdev Market,Kotlamubarakpur""","""011-26421051/52, 011-26421053/54""","011-24621059","ctpl123@touchtelindia.net","North","NEW DELHI","Delhi","MRS.VANITA GAMBHIR","Travel Agent"
"M/S GOVAN TRAVELS (PROP. DALMIA (BHARAT) LIMITED","""Hansalaya Building (12thfloor),15, Barakhamba Road""","""011-2331 3744, 011-2331 3268""","011-2331 3303","contact@govantravels.in","North","NEW DELHI","Delhi","MS. NEELAM BODH","Travel Agent"
"M/S ALPINE TRAVELS & TOURS PVT.LTD","""42, Zamrudpur Community Centre,,Kailash Colony Extension""","""011-4175 6306, 011 - 4175 6307""","011-4175 8810","alpine@dexgroup.com","North","NEW DELHI","Delhi","MR. VARUN SINGAL","Travel Agent"
"M/S ENKAY TRAVELS ( A DIVISION OF SURYA HOTELS (P) LTD)","""Enkay Chambers ,12,Malcha Marg , Diplomatic Enclave""","""011-2687 4777, 011-2611 5007""","011-2687 5849","tuberose@vsnl.com","North","NEW DELHI","Delhi","MR.K.S KOHLI","Travel Agent"
"M/S ORIENT EXPRESS PVT.LTD","""70, Janpath""","""011-2332 2142, 011- 4151 4430""","011-2332 5198","orexp@del2.vsnl.net.in","North","NEW DELHI","Delhi","MR.KANTI .K .PODDAR","Travel Agent"
"M/S KAI TRAVELS PRIVATE LIMITED","""Kai Suite A - 312, 314, Ansal Chambers No. - I,3-Bhikaji Cama Place""","""011- 4165 8219, 011- 4165 8220""","011-2618 3155","kaitravels@vsnl.net","North","NEW DELHI","Delhi","MR.KAI.L.SURI","Travel Agent"
"M/S L.T.C TRAVEL PVT.LTD","""4596, Ist Floor, Baluja House,Main Bazar , Pahar Ganj""","""011-4154 1526, 011-4154 1527""","011-4154 1528","ltc.baluja@gmail.com","North","NEW DELHI","Delhi","MR.SANJEEV BALUJA","Travel Agent"
"M/S. J & S TRAVELS PVT. LTD.","""203, New Delhi House, 27, Barakhamba Road""","""011 - 4151 3410""","011 - 2335 2900","jstravels@vsnl.net","North","NEW DELHI","Delhi","MR. ASHOK KAPOOR","Travel Agent"
"M/s H.R. TOURS AND TRAVELS","""bldg.No.198, 1st floor, jeevan nagar,,opp. maharani bagh""","""011- 4735 0210""","011- 2634 8131","info@hrtoursandtravels.com","North","New Delhi","Delhi","MR. ENAYAT ALI","Travel Agent"
"M/S. Delhi Air Movers Travel & Tours (p) Ltd.","""1350/19, flat No. 201, Bawa Chamber,,llnd Floor, Naiwala, Karol Bagh""","""011- 2875 2718, 011- 2875 2719""","011- 4501 2622","arunenterprises2000@yahoo.com","North","New Delhi","Delhi","MR. ARUN SHARMA","Travel Agent"
"M/S SMILE TOURS & TRAVELS PVT. LTD.","""12, D.D.A. Market,Vasant Enclave""","""011-40000500, 011-26147777""","011-40000555","smiletravels@gmail.com","North","NEW DELHI","Delhi","Mr. Subhash Chander Wadhwa","Travel Agent"
"M/S TRAVEL EXPERTS","""106, Samrat Bhawan,Ranjit Nagar Commercial Complex""","""011-4771 8800-6""","011 - 4771 8807","texperts@airtelmail.in","North","NEW DELHI","Delhi","MR. GURINDER SINGH BHATIA","Travel Agent"
"M/S DOLPHIN TRAVELS PVT.LTD","""205 - 206, Competent House,,F-14 Middle Circle, Connaught Place""","""011-4353 0000, 011-2332 1199""","011-4152 9596","info@dolphinindia.com","North","NEW DELHI","Delhi","MR.DEEPAK VIG","Travel Agent"
"M/S APEX TRAVEL & TOURS","""F-39 East of Kailash""","""011-2646 7344, 011-2622 7582""","011-2647 9446","apextour@.vsnl.com","North","NEW DELHI","Delhi","MR.SANJAY NARULA","Travel Agent"
"M/S CORONATION TRAVELS (P) LTD","""3-E/4 2nd Floor,Jhandewalan Extension""","""011- 4154 3594, 011- 4154 3595""","011-4154 3594","contact@coronationtravels.com","North","NEW DELHI","Delhi","MR DEV ROOP SONI","Travel Agent"
"M/S. PROVESTMENT SERVICES LTD.","""Building No. 5, 1st Floor, Pusa Road, WEA,Karol Bagh""","""011 - 4717 7000, 011 - 4717 7030""","011 - 4717 7077","provest@vsnl.com","North","NEW DELHI","Delhi","MR. PRAVEEN BHATIA","Travel Agent"
"M/S PRESIDENT TRAVEL SERVICE","""811, Arunachal Building, 19 - B, Barakhamba Road,(BRANCH OFFICE)""","""011-23310793, 011-23322234""","011-23731881","prestrav@del3.vsnl.net.in","North","NEW DELHI","Delhi","MR.A.S CHUGH","Travel Agent"
"M/S AIR TRAVEL BUREAU LTD.","""M-95 Connaught Circus (Head Office),""","""011-4435 7700""","011-4435 7788","atbdel@uniglobeatb.com","North","NEW DELHI","Delhi","MR.SUNIL NARAIN","Travel Agent"
"M/S TRAVEL PLUS (A UNIT OF IBIS TRAVEL PVT. LTD.)","""63, Kehar Singh Estate, Saidulajab""","""011-43436666""","011-43436603","travelplus@vsnl.com","North","NEW DELHI","Delhi","MRS. VEENA VERMA","Travel Agent"
"M/S MERA TRAVELS PRIVATE LIMITED","""211 Tolstoy House, Tolstoy Marg,Connaught Place""","""011-6630 2111, 011-6630 2113""","011-2375 2668","meratravels@rediffmail.com","North","NEW DELHI","Delhi","MR.ARUN BIRLA","Travel Agent"
"M/S ACE TRAVELS PVT.LTD","""86, Old Rajender Nagar Market""","""011 - 4506 5118, 011- 2582 5333""","011 - 2582 4111","acetrvls@gmail.com","North","NEW DELHI","Delhi","MR.VIVEK KUMAR LUTHRA","Travel Agent"
"M/S. SAAVI TRAVEL CENTRE PVT. LTD.","""902, Arunachal Building, 19, Barakhamba Road""","""011 - 2332 2354""","011 - 4151 1832","info@saavitravels.com","North","NEW DELHI","Delhi","MR. SYED HUSSAIN","Travel Agent"
"M/S G. D. GOENKA TOURISM CORPORATION LIMITED","""N-86 Connaught Place""","""011-23313210, 011-23738401""","011-2332 6967","gdgtcl@gdgoenka.com","North","NEW DELHI","Delhi","MR. J. PATHAK","Travel Agent"
"M/S. WISE TRAVEL INDIA PVT. LTD.","""210, 2nd Floor, DDA Building No. 5,District Centre, Janakpuri""","""011 - 4013 1313, 011 - 4433 0000""","011 - 4433 0000","devinder@wti.co.in","North","NEW DELHI","Delhi","MR. DEVINDER SEHGAL","Travel Agent"
"M/S STIC TRAVEL PVT. LTD","""G - 55, Ground Floor,,Connaught Circus""","""011-4620 6600""","011-2371 2710","stictrvl@del2.vsnl.net.in","North","NEW DELHI","Delhi","MR.SUBHASH GOYAL","Travel Agent"
"M/S TRAVEL POINT","""114,Suneja Tower-1,District Centre, Janakpuri""","""011-2553 1117, 011-2554 6543""","011-2553 4983","travelpoint@vsnl.com","North","NEW DELHI","Delhi","MR.R.MALHOTRA","Travel Agent"
"M/S CAMUS AIR TRAVEL (PVT).LTD","""C-43,4th Floor Himalaya House,23 kasturba Gandhi Marg""","""011- 2375 2100, 011 - 3042 2100""","011-2375 3781","camus@ndf.vsnl.net.in","North","NEW DELHI","Delhi","MR.ANISH MAHAJAN","Travel Agent"
