"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Nagaland","Education","Computerisation & Computer Education in Schools.","NLCPR","31/03/2000","162.00","162.00","162.00","81.00","24/07/2001","31/03/2003","31/03/2003"
"Nagaland","Education","Sarva Shiksha Abhiyan (2005-06)","NLCPR","29/03/2006","464.60","464.60","464.60","464.60","29/03/2006","29/12/2006","30/11/2007"
"Nagaland","Education","Nagaland University","NLCPR","02/09/2001","403.00","403.00","403.00","403.00","29/10/1999","31/07/2005","27/07/2009"
"Nagaland","Education","Construction of School Buildings","NLCPR","01/09/2000","3224.00","3224.00","3224.00","805.00","18/02/2003","30/03/2001","31/03/2003"
"Nagaland","Education","Sarva Shiksha Abhiyan (2006-07)","NLCPR","29/06/2006","463.04","463.04","463.04","463.04","29/06/2006","29/12/2006","30/11/2007"
"Nagaland","Education","Improvement and upgradation of 11 Government High School Buildings","NLCPR","05/11/2008","998.94","601.08","601.08","292.59","21/03/2011","31/10/2010",""
"Nagaland","Education","Additional Facilities to Sainik School at Punglwa, Nagaland","NLCPR","13/12/2006","208.00","91.15","91.15","91.15","14/12/2006","30/05/2008","31/12/2008"
"Nagaland","Education","Additional facilities (false ceiling) forr sainik School at Punglwa","NLCPR","27/09/2007","58.58","51.87","51.87","51.87","27/09/2007","27/02/2009","20/08/2009"
"Nagaland","Health","Vitalisation of State Referral Hospital, Dimapur","NLCPR","19/02/2004","3562.00","3169.30","3169.30","645.30","22/09/2008","31/03/2005","29/10/2007"
"Nagaland","Health","State Referral Hospital , Dimapur.","NLCPR","10/09/2001","300.00","300.00","300.00","300.00","11/10/2001","31/12/2002","31/10/2007"
"Nagaland","Health","Upgradation of Naga Hospital at Kohima .","NLCPR","23/12/1998","2500.00","1800.00","1428.00","600.00","18/06/2001","31/03/2001",""
"Nagaland","Health","Upgradation of District Hospitals, Nagaland","NLCPR","26/02/2004","1440.00","1234.69","1234.69","722.79","06/12/2006","31/12/2005","30/09/2010"
"Nagaland","Power","Electrification of 4 Tribal Villages","NLCPR","31/10/2000","70.00","70.00","70.00","35.00","08/03/2004","31/12/2002","26/06/2004"
"Nagaland","Power","Likimro - HEP","NLCPR","01/04/1999","3701.00","3701.00","3701.00","1200.00","15/11/2001","31/12/2002","31/12/2002"
"Nagaland","Power","Construction of end equipments and 220 kv S/C transmission line from PGCIL sub-station Dimapur to Chiephobozou","NLCPR","03/12/2010","1423.39","510.76","0.00","510.76","03/12/2010","31/10/2012",""
"Nagaland","Power","Construction of new 66 kV Tizit to Mon Transmission Line","NLCPR","10/05/2005","1242.86","1080.96","1080.96","169.46","27/09/2007","31/05/2006","28/01/2008"
"Nagaland","Power","Sub-Transmission system at Mokokchung","NLCPR","18/02/2003","699.00","699.00","699.00","349.00","26/08/2003","31/03/2004","31/03/2004"
"Nagaland","Power","Construction of 66KV Transmission Line (charged at 33KV) from Ganeshnagar to Peren & construction of 5MVA, 33/11 KV S/S at Jalukie & Peren","NLCPR","18/12/2008","2178.44","1455.15","672.75","782.40","28/12/2011","15/05/2010",""
"Nagaland","Power","Sub-transmission & Distribution schemes (34 No.)","NLCPR","07/11/2000","6785.00","6568.00","6568.00","730.00","05/07/2004","30/12/2005","11/12/2005"
"Nagaland","Power","Construction of 132 kV S/C Wokha-Zunheboto-Makokchung Transmission line Phase I, Wokha Doyang NH-61","NLCPR","23/09/2011","2048.09","735.58","0.00","735.58","26/09/2011","30/09/2013",""
"Nagaland","Power","23MW HFO, Thermal Power Plant, Dimapur","NLCPR","17/03/2004","3200.00","3200.00","3200.00","1314.00","31/08/2004","31/07/2005",""
"Nagaland","Power","Construction of 10 MVA 132/33 kV Sub-station at Doyang (NH-61) near NEEPCO project","NLCPR","23/03/2012","1000.00","360.00","0.00","360.00","19/07/2012","31/03/2014",""
"Nagaland","Road & Bridges","Mokokchung-Dikhu-Chare road in Tuensang Dist. (Tuensang Seminar Road)","NLCPR","28/02/2001","870.00","853.70","853.70","147.60","28/07/2005","31/03/2006","10/08/2007"
"Nagaland","Road & Bridges","Construction of road from NH-150 to Chokriba via Thipuzu (10 km) in Phek District","NLCPR","19/12/2011","1167.91","410.10","0.00","410.10","19/12/2011","31/03/2013",""
"Nagaland","Road & Bridges","Mon-Namotola Road (Mon Seminar Road)","NLCPR","01/10/2001","958.00","958.00","950.10","657.00","01/09/2004","31/03/2004","20/05/2006"
"Nagaland","Road & Bridges","Construction of road from Jendang-Saddle-Noklak-Pangsha Tuensang District - 62 Km (Phase - II for 31 Km) in Nagaland","NLCPR","26/12/2012","2186.72","787.22","0.00","787.22","26/12/2012","31/12/2014",""
"Nagaland","Road & Bridges","Dimapur to Ganeshnagar Road","NLCPR","30/01/2003","1212.00","1111.32","1111.32","217.42","27/09/2006","31/03/2004","09/06/2010"
"Nagaland","Road & Bridges","Upgradation of Road from Rusoma to Kijumetuma (36.00 Km)","NLCPR","31/12/2007","2184.57","1966.05","1966.05","597.06","30/09/2009","30/09/2009","14/05/2010"
"Nagaland","Road & Bridges","Constructon of T.Beam Girder Double Lane Bridge of IRC Class 'A' loading over river DZU-U on Rusoma to Kijumetuma road","NLCPR","18/12/2008","544.41","489.97","489.97","123.25","16/06/2010","15/06/2010","14/05/2010"
"Nagaland","Road & Bridges","Improvement of road from Zhekiye to Satoi - 70 km (Ghukhuyi upto Satoi Administrative Hq., MDR-21 km)","NLCPR","10/11/2010","1438.84","1015.00","1015.00","507.50","21/10/2011","30/04/2012",""
"Nagaland","Road & Bridges","Replacement of Hamilton Bridge on Diku-Chare Road","NLCPR","21/03/2003","160.00","40.00","6.00","40.00","21/03/2003","21/03/2005",""
"Nagaland","Road & Bridges","Improvement and upgradation of District Capital Roads","NLCPR","29/07/2004","2000.00","1817.63","1817.63","514.86","26/09/2006","29/07/2006","30/09/2005"
"Nagaland","Road & Bridges","Improvement of Dimapur Niuland Road","NLCPR","01/03/2000","736.00","736.00","736.00","486.00","30/01/2003","31/03/2003","31/03/2003"
"Nagaland","Road & Bridges","Construction of road from Tamlu Administrative Hq. to Shemnyuching in Nagaland","NLCPR","02/03/2009","1142.95","771.46","771.46","411.46","19/03/2010","28/02/2011",""
"Nagaland","Road & Bridges","Improvement and Upgradation of road from Longkhum via Mangmetong - Aliba","NLCPR","22/02/2006","1781.00","1555.89","1555.89","311.27","13/09/2007","29/02/2008","09/06/2010"
"Nagaland","Road & Bridges","Construction of road from  Kephore to Kituskir (10 km) in Nagaland","NLCPR","02/03/2009","749.05","465.56","465.56","234.36","25/03/2010","31/08/2010",""
"Nagaland","Road & Bridges","Construction of road from Noklak to Thonoknyu via Sanglao in Nagaland","NLCPR","27/03/2009","844.81","760.32","569.78","190.54","28/10/2011","30/09/2010",""
"Nagaland","Road & Bridges","Improvement of Roads in Tuensang District (Under PM's Package)","NLCPR","29/09/2005","4072.11","3282.22","3281.82","1200.00","25/03/2010","31/03/2007",""
"Nagaland","Road & Bridges","Aboi-Tohok, 14 KM","NLCPR","23/10/2001","653.00","653.00","653.00","303.00","30/07/2004","31/03/2006","31/03/2007"
"Nagaland","Road & Bridges","Construction of road from Kohima to Leikie road junction to Tepuiki to Barak - 10 km (MDR)","NLCPR","28/02/2011","968.54","696.86","348.43","348.43","22/11/2012","31/01/2013",""
"Nagaland","Road & Bridges","Tang-Junction to Chenmoho Road (Mon Seminar Road)","NLCPR","01/04/2001","1554.00","1489.96","1512.58","372.08","31/01/2006","31/03/2005","06/01/2011"
"Nagaland","Road & Bridges","Construction of road from Razeba to Chizami via Thetsumi","NLCPR","18/12/2008","2572.67","2315.40","1736.08","579.32","03/08/2011","15/12/2010",""
"Nagaland","Road & Bridges","Constrcution of road from Kohima to Leike road junction to Barak - 15 Km (Phase- III) in Nagaland","NLCPR","24/12/2012","1911.48","688.13","0.00","688.13","26/12/2012","31/12/2014",""
"Nagaland","Road & Bridges","Upgradation of Co-Co Doyang Road (NH-61) to Kitsaki via Atoizu SDO HQ-37 (MDR)","NLCPR","23/12/2010","1661.12","1196.00","1196.00","598.00","17/11/2011","30/11/2012",""
"Nagaland","Road & Bridges","Khipire-Amahator-Lukhani Road (Tuensang Seminar Road)","NLCPR","30/01/2003","1952.40","1449.46","1409.51","279.46","26/03/2008","31/03/2008",""
"Nagaland","Road & Bridges","Construction of road from Diezephe to Razephe via Vidima - 15 km","NLCPR","19/05/2011","1371.24","489.02","489.02","489.02","20/05/2011","31/05/2013",""
"Nagaland","Road & Bridges","Construction of Road from Phek to Chozuba (44.36 Km)","NLCPR","31/12/2007","1747.13","1450.00","1450.00","350.00","16/06/2010","30/06/2009",""
"Nagaland","Road & Bridges","Construction of Tizu Bridge & Chizuti Bridge at Nimi-Laluri Road to Mineral Deposit Areas","NLCPR","23/12/2010","2053.93","1431.59","716.00","715.59","29/09/2011","30/11/2012",""
"Nagaland","Road & Bridges","Tohok-Chen HQ-Chenlaiso-Wangti,49 KM","NLCPR","12/01/2004","1111.08","998.07","971.46","153.10","26/03/2008","31/03/2006",""
"Nagaland","Road & Bridges","Chantongya - Longleng Road (23 KMs)","NLCPR","01/03/2000","423.00","423.00","423.00","23.00","12/11/2002","30/09/2002","30/09/2002"
"Nagaland","Road & Bridges","Construction of RCC T Beam girder double-lane bridge over river Tezu on Lanye to Meluri, Phek Dist","NLCPR","27/06/2011","900.26","647.46","323.73","323.73","25/09/2012","31/05/2014",""
"Nagaland","Road & Bridges","Railway Over bridge at Dimapur","NLCPR","01/01/2001","350.00","350.00","350.00","350.00","29/01/2000","30/09/2002","30/09/2002"
"Nagaland","Road & Bridges","Construction of Road Kohima Laike Road junction to old Puilwa -15km in Nagaland","NLCPR","04/09/2009","748.93","660.83","660.83","132.17","31/05/2011","28/02/2011",""
"Nagaland","Road & Bridges","Upgradation of Dimapur Khopanala Jalukie Peren Road","NLCPR","21/02/2006","3673.00","3305.95","3305.95","1052.57","13/09/2007","29/02/2008","25/02/2010"
"Nagaland","Road & Bridges","Construction & Improvement of road from Zhekiye to Hokiye via Satoi (Zhekiye to Chokhuvi)-26 km in Nagaland","NLCPR","02/03/2009","1693.61","1120.44","1120.44","597.44","25/03/2010","31/08/2010",""
"Nagaland","Road & Bridges","Construction of road from Longtho to Governor's Camp at Liphayan 20 km in Nagaland","NLCPR","30/09/2009","1094.56","965.79","772.64","193.15","21/03/2011","31/03/2011",""
"Nagaland","Road & Bridges","Construction of road from Pughoboto to Satakha, Zunheboto road, Zunheboto District (50km)","NLCPR","19/09/2011","3924.04","2823.06","1411.53","1411.53","03/09/2012","31/08/2013",""
"Nagaland","Road & Bridges","Construction / Improvement of road from Tuophema to Kasha (8.5 km) in Nagaland","NLCPR","26/03/2009","586.82","517.79","388.31","129.48","12/07/2011","31/08/2010",""
"Nagaland","Road & Bridges","Improvement of Roads in Wokha District (Under PM's Package)","NLCPR","29/09/2005","435.42","380.12","380.12","98.94","25/03/2010","29/09/2007","05/09/2005"
"Nagaland","Road & Bridges","Kiphire - Pungro Road (Tuensang Seminar Road)","NLCPR","01/04/2001","2900.00","2857.00","2856.01","387.00","26/03/2008","31/03/2008","31/03/2009"
"Nagaland","Road & Bridges","Construction of road from Chozuba Border Road to Kijumetuma Junction via Khusami (26 km)","NLCPR","15/03/2011","3435.50","1232.01","0.00","1232.01","16/03/2011","28/02/2013",""
"Nagaland","Road & Bridges","Construction of Bus and Truck Terminus at Peren New District HQ (Model Township) in Nagaland","NLCPR","31/10/2012","873.86","314.58","0.00","314.58","02/11/2012","30/04/2014",""
"Nagaland","Road & Bridges","Tohok-Chenkhao-Wangti,31KM","NLCPR","23/10/2001","818.89","797.00","790.94","197.00","26/03/2008","31/03/2006","05/10/2011"
"Nagaland","Road & Bridges","Construction of road from Ruzhazo to Phek town via Khumvophu","NLCPR","18/12/2008","860.04","764.86","580.05","184.81","11/07/2011","15/09/2010",""
"Nagaland","Road & Bridges","Lampong Singha to Phomehing via Changnyu EAC HQ. (Mon Seminar Road)","NLCPR","30/01/2003","878.00","60.00","0.00","60.00","30/01/2003","31/12/2005","10/10/2007"
"Nagaland","Road & Bridges","Construction of Road from Purana Bazar (NH-39 Bypass) to Kohima-Bokajan Road","NLCPR","20/09/2004","2117.63","1925.33","1924.96","374.33","26/09/2006","31/03/2006","29/09/2006"
"Nagaland","Road & Bridges","Construction of 2 lane RCC Bridge over Dhansiri river","NLCPR","28/06/2007","645.19","580.67","580.67","174.01","03/08/2009","31/07/2009",""
"Nagaland","Road & Bridges","Improvement & Upgradation of road from Border road to Changlanshu - 19 km","NLCPR","27/06/2011","610.78","438.26","219.13","219.13","11/09/2012","31/05/2014",""
"Nagaland","Road & Bridges","Improvement and Upgradation of road from NH-61 (Alichen to Mangmetong - 11 Km) to Doyang Hydro Project Phase -I in Nagaland","NLCPR","05/02/2010","704.14","621.29","501.29","120.00","17/11/2011","15/08/2011",""
"Nagaland","Road & Bridges","Upgradation of Dimapur-Nuiland Road from ODR to MDR (28 Kms) in Nagaland","NLCPR","16/08/2010","2941.08","2595.07","2076.06","519.01","17/11/2011","29/02/2012",""
"Nagaland","Road & Bridges","Construction of Road to Dimapur Dist. Headquarters at Chumukedima","NLCPR","01/03/2000","265.00","265.00","265.00","65.00","12/11/2002","29/03/2002","14/08/2003"
"Nagaland","Road & Bridges","Improvement of road from Hezidesa Village to Intanki River Bridge (6.60 km) and upgradation of Road from Mounglumuk to Jalukie Zandi Village (6.30km) in Nagaland","NLCPR","26/09/2007","727.00","654.34","654.34","211.50","24/03/2009","28/08/2008",""
"Nagaland","Road & Bridges","Upgradation and Improvement of roads from Tourist Villages from major/minor hubs in Nagaland","NLCPR","02/03/2009","489.64","432.30","324.29","108.01","19/12/2011","28/02/2011",""
"Nagaland","Road & Bridges","Construction of Road from Yangli to Surohoto (17Km) in Nagaland","NLCPR","04/09/2009","894.68","789.42","789.42","157.88","21/02/2011","28/02/2011","10/03/2011"
"Nagaland","Road & Bridges","Construction and Upgradation of road from Old Phek via Khuza to Satakha Road","NLCPR","22/02/2006","2917.21","2549.02","2549.02","656.86","13/09/2007","29/02/2008","31/03/2010"
"Nagaland","Road & Bridges","Construction of road from NH-150 to Thiphuzu (25 km) in Nagaland","NLCPR","02/03/2009","1192.46","1073.21","804.24","268.97","08/08/2011","31/08/2010",""
"Nagaland","Road & Bridges","Construction of road from Zero Point Sanis to Woruku village - 27km (ODR)","NLCPR","19/09/2011","2299.44","820.96","820.96","820.96","24/10/2011","30/09/2013",""
"Nagaland","Road & Bridges","Construction of Link Roads to Mineral Deposit Areas in Nagaland","NLCPR","16/05/2008","2653.91","2341.71","2341.71","701.71","26/11/2009","31/05/2010",""
"Nagaland","Road & Bridges","Construction of road from Agunato-Samator Road in Nagaland","NLCPR","27/03/2009","1597.30","1409.80","1057.45","352.35","21/02/2011","31/03/2011",""
"Nagaland","Road & Bridges","Construction of road from Chuchuyimlang to Mongdikang 20 km in Nagaland","NLCPR","14/10/2009","1106.38","976.22","823.87","195.26","26/04/2011","31/03/2011",""
"Nagaland","Road & Bridges","Construction of road from Tuophema to Pughoboto via Kasha (Kasha to Pughoboto) - 12.47km","NLCPR","19/09/2011","1494.87","537.00","0.00","537.00","16/12/2011","31/08/2013",""
"Nagaland","Road & Bridges","Improvement of Roads in Mon District (Under PM's Package)","NLCPR","29/09/2005","2374.78","1567.34","712.43","854.91","20/12/2011","29/09/2007",""
"Nagaland","Sports","Mini Outdoor Stadium at Wangkhao College in Mon Town","NLCPR","22/05/2006","80.26","70.14","70.14","45.60","10/03/2008","30/04/2008","10/12/2008"
"Nagaland","Sports","Construction of Indoor and Outdoor Stadium at Peren Government College, Peren","NLCPR","30/07/2010","823.14","290.30","290.30","290.30","02/08/2010","31/07/2012",""
"Nagaland","Sports","Construction of Sports Hall at Mokokchung","NLCPR","21/03/2003","194.00","177.10","177.10","84.60","13/03/2007","31/10/2005","19/10/2009"
"Nagaland","Water Supply","Augmantation of water supply at Dimapur.","NLCPR","19/07/2000","1333.00","1333.00","1333.00","290.00","26/09/2002","01/03/2002","29/03/2002"
"Nagaland","Water Supply","Augmentation of water supply at Chen EAC H.Q. Chenwatnyu village","NLCPR","12/10/2007","279.48","246.60","172.56","74.04","14/06/2011","12/10/2007",""
"Nagaland","Water Supply","Providing Water Supply to New Peren District HQ of Nagaland","NLCPR","14/09/2012","930.94","335.14","0.00","335.14","14/09/2012","31/12/2014",""
"Nagaland","Water Supply","Augmenataion of Water Supply to Wokha Town","NLCPR","23/11/2012","1959.60","705.46","0.00","705.46","23/11/2012","31/10/2014",""
"Nagaland","Water Supply","Water Supply scheme for Mon and Chui villages","NLCPR","08/11/2003","392.00","366.22","366.22","66.22","08/03/2006","31/03/2005","31/03/2009"
"Nagaland","Water Supply","Providing Water Supply to 24 villages of Chiephobozou R.D.Block in Nagaland","NLCPR","30/09/2009","2626.41","1890.61","979.43","859.64","23/05/2011","30/09/2011",""
"Nagaland","Miscellaneous","Construction of Rest House for EAC HQ at Satoi under Zunheboto District","NLCPR","19/09/2011","127.26","44.92","0.00","44.92","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for ADC HQ at Niuland under Dimapur District","NLCPR","19/09/2011","170.27","60.09","0.00","60.09","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for ADC HQ at Aboi under Mon District","NLCPR","19/09/2011","154.40","54.49","0.00","54.49","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for SDO HQ at Changtongya under Makokchung District","NLCPR","19/09/2011","179.71","63.43","0.00","63.43","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Setting up of State Archive at Kohima","NLCPR","29/06/2006","430.95","376.56","337.56","39.00","11/07/2011","30/05/2008","07/02/2011"
"Nagaland","Miscellaneous","Construction of Rest House for Deputy Commissioner HQ at New Peren under Peren District","NLCPR","19/09/2011","216.77","77.40","0.00","77.40","23/09/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for Sub-divisional Officer (Civil) at Dhansiripar under Dimapur District","NLCPR","19/09/2011","160.06","56.49","0.00","56.49","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for ADC HQ at Shamator under Tuensang District","NLCPR","19/09/2011","184.89","65.26","0.00","65.26","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Administrative Training Institute.","NLCPR","01/01/1999","100.00","100.00","100.00","100.00","01/01/1999","30/09/2000","29/12/2000"
"Nagaland","Miscellaneous","Construction of Rest House for EAC HQ at Sakshi under Longleng District","NLCPR","19/09/2011","154.37","54.49","0.00","54.49","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for EAC HQ at Botsa under Kohima District","NLCPR","16/09/2011","136.05","48.02","0.00","48.02","26/09/2011","31/08/2014",""
"Nagaland","Miscellaneous","Establishment of North East Expo Centre ar Dimapur","NLCPR","12/10/2007","986.37","887.73","887.73","225.87","04/08/2011","30/09/2010",""
"Nagaland","Miscellaneous","Construction of Rest House for EAC HQ at Khonsa under Kiphire District","NLCPR","19/09/2011","188.38","66.49","0.00","66.49","27/09/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for ADC HQ at Meluri under Phek District","NLCPR","19/09/2011","187.51","66.18","0.00","66.18","27/09/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for EAC HQ at Ghathashi under Zunheboto District","NLCPR","19/09/2011","127.37","44.95","0.00","44.95","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Multipurpose Hall at Longleng in Nagaland","NLCPR","09/12/2009","1170.42","828.11","413.08","415.03","20/05/2011","30/06/2011",""
"Nagaland","Miscellaneous","Construction of Rest House for SDO HQ at Sanis under Wokha District","NLCPR","19/09/2011","193.12","68.16","0.00","68.16","24/10/2011","31/08/2014",""
"Nagaland","Miscellaneous","Construction of Rest House for EAC HQ at Khuza under Phek District","NLCPR","16/09/2011","162.46","57.34","0.00","57.34","26/09/2011","31/08/2014",""
"Nagaland","Tourism & Culture","Construction of Rani Gaidinliu Library Cum memorial Museum at Kohima","NLCPR","19/09/2011","983.08","353.12","0.00","353.12","19/12/2011","30/06/2012",""
"Sikkim","Flood Control & Irrigation","Anti Erosion Works (15 No.)","NLCPR","14/01/2000","532.00","532.00","532.00","6.00","21/03/2003","30/09/2003","30/09/2003"
"Sikkim","Flood Control & Irrigation","Anti Erosion Works (38 No.)","NLCPR","12/09/2001","1500.00","1500.00","1500.00","300.00","31/12/2003","31/03/2004","31/03/2004"
"Sikkim","Flood Control & Irrigation","Anti Erosion Works (6 No.)","NLCPR","12/09/2001","548.66","549.00","549.00","249.00","30/01/2003","31/03/2003","30/09/2003"
"Sikkim","Flood Control & Irrigation","Anti Erosion Works (32 No.)","NLCPR","28/03/2000","1002.00","1002.00","1002.00","1002.00","28/03/2000","30/12/2001","31/12/2001"
"Sikkim","Education","Centre for Computer and Communication Technology Polytechnic, Gangtok.","NLCPR","22/03/2000","250.00","250.00","250.00","250.00","22/03/2000","31/03/2004","31/03/2004"
"Sikkim","Education","Sarva Shiksha Abhiyan","NLCPR","28/03/2006","200.05","200.05","200.05","200.05","28/03/2006","29/12/2006","07/03/2011"
"Sikkim","Education","Assistance to affiliated colleges (4 No)","NLCPR","15/09/2000","500.00","500.00","500.00","50.00","23/09/2002","31/03/2005","20/09/2005"
"Sikkim","Education","Construction of Multi Purpose Hall cum Classroom for 5 Senior Secondary Schools at various places in Sikkim under NLCPR.","NLCPR","30/09/2008","971.15","860.66","779.35","229.55","23/08/2011","31/03/2010",""
"Sikkim","Education","Construction of School Buildings and Rain Water Harvesting for various Schools","NLCPR","08/12/2006","1147.40","1004.34","1004.33","281.48","24/03/2009","07/12/2008",""
"Sikkim","Education","Construction of 198 School buildings","NLCPR","15/09/2000","2342.00","2342.00","2342.00","371.00","12/11/2002","31/03/2003","31/03/2003"
"Sikkim","Education","Construction of Multipurpose Halls cum Classroom in Six Senior Secondary Schools.","NLCPR","02/01/2012","1800.00","648.00","0.00","648.00","02/01/2012","02/01/2012",""
"Sikkim","Power","Cost.OF  66/11 kv ,2  x  2.55 MVA Sub-Station with LILO arrangement at old Namchi Bazar including Up-gradation  of existing  2X 2.5 MVA Sub-Station to 2X  7.5 MVA  Sub-Station at Namchi , South Sikkim","NLCPR","23/12/2010","1347.93","485.26","437.34","485.26","24/12/2010","30/06/2012",""
"Sikkim","Power","Construction of 66/11 KV, 2x5 MVA Sub – station at Perbing Ranka, East Sikkim including drawing of 11 KV, HT Transmission lines for power evacuation and other allied electrical works in and around Gangtok in East Sikkim","NLCPR","20/04/2010","1589.10","572.07","572.07","572.07","16/06/2010","30/09/2011",""
"Sikkim","Power","Construction of 66 KV line from Lachung to Maltin including construction of 66/11 KV 5 MVA Switchyard at Lachung and additional bay at Maltin in Sikkim","NLCPR","22/03/2011","1079.10","388.47","0.00","388.47","23/03/2011","30/09/2012",""
"Sikkim","Power","Installation of 1x15 MVA transformer & extension bay at 66/11KV S/S, Mamring, South Sikkim","NLCPR","09/03/2010","605.84","436.20","218.10","218.10","29/06/2012","30/09/2011",""
"Sikkim","Power","Centralized Load Dispatch Centre at Melli","NLCPR","23/09/2002","974.16","921.64","921.64","112.64","16/07/2007","31/03/2005","10/04/2009"
"Sikkim","Power","Remodelling of transmission and distribution network of Gangtok Town","NLCPR","18/05/2004","2244.40","2109.96","2109.96","1209.96","27/12/2005","28/02/2006","31/03/2009"
"Sikkim","Power","Complete Electrification of Lord Buddha Statue including garden along with conversion of existing overhead L.T. distribution lines into underground cable system with modernization and refurbishment of existing electrical network at Rabong bazaar in South","NLCPR","09/03/2010","400.52","288.36","144.18","144.18","04/09/2012","30/09/2011",""
"Sikkim","Power","Augmentation  of 66/11 KV, 2.5 MVA phodong Sub-Station to 5 MVA and replacement of all electrical equipments, North Sikkim under NLCPR","NLCPR","06/07/2011","860.95","309.94","294.59","309.94","08/07/2011","30/06/2012",""
"Sikkim","Power","132 kv S/c transmission line from rangit to Melli with 132/66 kv sub-station at Melli.","NLCPR","16/01/2002","2817.00","2817.00","2817.00","313.00","29/06/2004","31/08/2004","30/06/2005"
"Sikkim","Power","Conservation of existing 440 V L.T. distribution overhead lines including service connections into underground cable system at Gyalshing Bazar and its surrounding areas in Sikkim","NLCPR","07/09/2011","445.32","160.32","160.32","160.32","23/09/2011","31/07/2012",""
"Sikkim","Power","Synchronization of Rimbi Stage I, Stage II and Kalez HEP to Common 11 kV grid and further to 66 kV State grid","NLCPR","23/03/2006","962.32","866.08","866.08","259.82","30/09/2008","29/09/2006","31/03/2009"
"Sikkim","Power","Construction of 66 kV S/C transmission line from Myong to Chungthang and transformer bay at Chungthang and feeder bay at Mayong","NLCPR","22/03/2004","876.76","800.79","785.79","170.20","19/02/2009","31/12/2005","28/12/2010"
"Sikkim","Power","Major overhauling of 2x6 MW hydel generating station at lower lagyap hydel project.","NLCPR","07/01/2000","1951.00","1951.00","1951.00","430.00","23/09/2002","31/03/2002","31/03/2003"
"Sikkim","Power","Drawing of 66 KV Transmission line including construction of 2x7.5 MVA, sub-station at Marchak, East Sikkim","NLCPR","20/04/2010","1000.77","360.27","342.05","360.27","16/06/2010","30/09/2011",""
"Sikkim","Power","Design, Supply, erection, testing & commissioning of 11/66 KV switchyard at Rbochu HEP with 2*5 MVA, 11/66 KV transformer and construction of 66 KV transmission line from Rabochu to mAltin with additional bay in Maltin in Noth Sikkim","NLCPR","08/07/2011","1087.63","391.54","0.00","391.54","11/07/2011","31/12/2012",""
"Sikkim","Power","Drawing of new 66 kv double circuit transmission line from LLHP to Tadong 66/11 KV Sub-Station, Sikkim","NLCPR","02/09/2009","834.43","294.50","34.86","294.50","02/09/2009","31/08/2011",""
"Sikkim","Power","Construction of 132 KV Transmission line from LLHP to Nathula","NLCPR","29/06/2006","3100.87","1815.60","1815.60","907.80","19/09/2008","30/05/2008",""
"Sikkim","Power","Sub-Transmission and Distribution works at three locations (i) Power Supply to VIP Complex at Gangtok, (ii) Augmentation of Substation capacity at Tadong by 1x5 MVA, 66/11 KV transformer for referal hospital, (iii) construction of 66  KV D/C line from low","NLCPR","11/09/2001","1711.56","1664.10","1664.10","238.10","07/03/2008","30/09/2004","31/03/2009"
"Sikkim","Power","Extension of 132 Kv system in South and West Districts of Sikkim covering Gyalshing, Pelling and Rabongla","NLCPR","30/07/2004","2303.00","2153.55","2153.55","631.40","26/09/2007","31/03/2006","30/06/2009"
"Sikkim","Road & Bridges","Upgradation of LLHP to Nandok road (4kms) in East Sikkim","NLCPR","02/03/2009","362.77","225.90","125.12","112.95","10/09/2012","31/08/2010",""
"Sikkim","Road & Bridges","Construction of Steel Bridge at Khundrukay Khola along Yangang-Makha Road, South Sikkim","NLCPR","09/11/2010","241.06","173.56","86.64","86.78","21/08/2012","31/10/2011",""
"Sikkim","Road & Bridges","Carpeting / Surface Improvement of Dentam - Uttarey Road (10 Km) in West Sikkim","NLCPR","30/07/2004","399.00","361.17","333.99","81.17","18/06/2009","31/12/2005","30/04/2011"
"Sikkim","Road & Bridges","WBM Carpetting of 9 roads (9 No.)","NLCPR","09/03/2000","520.00","520.00","520.00","520.00","29/06/1999","31/03/2001","31/08/2001"
"Sikkim","Road & Bridges","Construction of Diversion of Ranipool-Pakyong Road in East Sikkim","NLCPR","29/09/2004","237.00","213.27","213.27","130.40","17/05/2006","29/09/2006","30/04/2011"
"Sikkim","Road & Bridges","Upgradation of Rabongla - Makha Road (26 Kms) in South Sikkim","NLCPR","30/07/2004","994.00","913.92","913.92","14.48","18/11/2008","31/05/2008","31/03/2008"
