"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
1654.0,"NORTH EASTERN REGION (NER BPMC)","Studies on the cellular roles of calcium signalling proteins in Neurosproa crassa [BT/101/NE/TBP/2010]","Dr. Ranjan  Tamuli
INDIAN INSTITUTE OF TECHNOLOGY, GUWAHATI Guwahati, Assam-781039","07/03/2011","3 Years 0 Month",7778028.0
1655.0,"NORTH EASTERN REGION (NER BPMC)","Genetic characterization of selected
freshwater fish species endemic to Indian
region of the Indo-Burma biodiversity hotspot
using advanced cytogenetic markers [BT/13/NE/TBP/2010]","Dr. Gusheinzed  Waikhom
INSTITUTE OF BIORESOURCES AND SUSTAINABLE DEVELOPMENT Imphal, Manipur-795001","08/03/2011","3 Years 0 Month",4530036.0
1656.0,"PLANT BIOTECHNOLOGY","Development and characterization of Microsatellite markers in Mucuna pruriens-A medicinally and ergonomically important legume species. [BT/PR3489/PBD/16/945/2011]","Dr. N  Sathyanarayana
Sikkim University Gangtok, Sikkim-737102","01/03/2013","3 Years 0 Month",3359400.0
1657.0,"PLANT BIOTECHNOLOGY","Understanding rachis and berry elongation in response to GA3 application in Thompson Seedless grapes using functional genomics approach [BT/PR4856/PBD/16/967/2012]","Dr. Satisha  Jogaiah
National Research Center For Grapes Pune, Maharashtra-412307","03/01/2013","3 Years 0 Month",6129400.0
1658.0,"PLANT BIOTECHNOLOGY","Elucidation of molecular mechanism for the lack of latex biosynthesis during  the onset of tapping panel dryness (TPD) syndrome in high yielding clones of rubber tree (Hevea brasiliensis Muell. Arg.) [BT/PR821/PBD/16/935/2011]","Dr. P  Venkatachalam
Periyar University Salem Salem, Tamilnadu-636011","03/12/2012","3 Years 0 Month",4530000.0
1659.0,"PLANT BIOTECHNOLOGY","CHARACTERIZATION OF MICROFLORA OF RHIZOSPHERE ASSOCIATED WITH SAFFRON WITH A TARGET TO DEVELOP CONSORTIA OF BENEFICIAL MICROBES [BT/PR5534/PBD/16/1006/2012]","Prof. K K  Koul
Jiwaji University Gwalior, Madhya Pradesh-474011","04/01/2013","3 Years 0 Month",14992800.0
1660.0,"PLANT BIOTECHNOLOGY","Comparative evalution of Arnebia species with specific reference to metabolome related to shikonin synthesis in situ and in vitro. [BT/PR/11678/PBD/16/833/2008]","Dr. Shashi  Bhushan
Institute of Himalayan Bioresource Technology Palampur, Himachal Pradesh-176061","06/09/2010","3 Years 0 Month",5146032.0
1661.0,"PLANT BIOTECHNOLOGY","Induction of variability for genetic improvement of Kashmir Saffron [BT/PR5409/PBD/16/977/2012]","Prof. Manoj Kumar Dhar
University of Jammu Jammu, Jammu And Kashmir-180006","08/01/2013","3 Years 0 Month",9074800.0
1662.0,"PLANT BIOTECHNOLOGY","Spatial and Temporal metabolic profiling of tomato plants Implications and noval path for development of elite genotypes. [BT/PR/11685/PBD/16/837/2008]","Dr. Anil Kumar Kush
Vittal Mallya Scientific Research Foundation Bangalore, Karnataka-560076","08/09/2010","3 Years 0 Month",6331048.0
1663.0,"PLANT BIOTECHNOLOGY","Tissue Culture Based Network Programme on Saffron (Crocus sativus L.) [BT/PR5525/PBD/16/980/2012]","Prof. Azra Nahaid Kamili
University of Kashmir Srinagar, Jammu And Kashmir-190006","08/11/2012","3 Years 0 Month",10471000.56
1664.0,"PLANT BIOTECHNOLOGY","Metabolite Library of Curcuma Longa L. and C aromatica: Construction variability in Cultivars and Assessment of Therapeutic Properties. [BT/PR/11674/PBD/16/838/2008]","Prof. A S Raghavendra
University of Hyderabad Hyderabad, Andhra Pradesh-500046","10/09/2010","3 Years 0 Month",8449048.0
1665.0,"PLANT BIOTECHNOLOGY","Molecular characterization and development of user friendly on site detection kit (lateral flow device) for Banana top virus (BBTV) infecting banana [BT/PR13207/PBD/16/870/2009]","Dr. Shahana  Majumdar
Sharda University Greater Noida, Uttar Pradesh-201306","12/11/2010","3 Years 0 Month",3165006.0
1666.0,"PLANT BIOTECHNOLOGY","Functional analysis of salinity stress response in grapevine [BT/PR4830/PBD/16/968/2012]","Dr. Anuradha  Upadhyay
National Research Center For Grapes Pune, Maharashtra-412307","14/11/2012","3 Years 0 Month",6984400.0
1667.0,"PLANT BIOTECHNOLOGY","To study the role of Arabidopsis TBP-associated factors TAFs in plant defense. [BT/PR/12043/PBD/16/846/2009]","Dr. Samir V Sawant
National Botanical Research Institute Lucknow, Uttar Pradesh-226001","15/06/2010","3 Years 0 Month",3843863.0
1668.0,"PLANT BIOTECHNOLOGY","Improvement of apple through biotechnological interventions. [BT/PR11001/PBD/16/803/2008]","Dr. Paramveer Singh Ahuja
Institute of Himalayan Bioresource Technology Palampur, Himachal Pradesh-176061","15/09/2010","3 Years 0 Month",33093184.0
1669.0,"PLANT BIOTECHNOLOGY","Biotechnological Interventions for Improvement of Apple Scionwood in Himachal Pradesh. [BT/PR10594/PBD/16/790/2008]","Dr. Sanjay  Saxena
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","16/02/2009","5 Years 0 Month",15164056.0
1670.0,"PLANT BIOTECHNOLOGY","Genetic Improvement of Ecucalyptus through Mapping and Tagging or QTLs/Genes [BT/PR10055/PBD/16/772/2007]","Dr. N  Krishnakumar
INSTITUTE OF FOREST GENETICS AND TREE BREEDING Coimbatore, Tamilnadu-641002","16/06/2010","5 Years 0 Month",19861192.0
1671.0,"PLANT BIOTECHNOLOGY","Study of Transcriptomic and Metabolomic change Induced by Nitrogen and Phosphorus stress in Maize Roots. [BT/PR11680/PBD/16/834/2008]","Dr. Renu  Pandey
Indian Agricultural Research Institute New Delhi, Delhi-110012","17/09/2010","3 Years 0 Month",8437016.0
1672.0,"PLANT BIOTECHNOLOGY","Molecular cloning and characterization of dehydration responsive tubby-like protein caTLP1. [BT/PR/13045/PBD/16/863/2009]","Prof. Niranjan  Chakraborty
National Institute of Plant Genome Research New Delhi, Delhi-110067","17/09/2010","3 Years 0 Month",2997024.0
1673.0,"PLANT BIOTECHNOLOGY","Sub-cellular localization and biochemical characterization of biogenic membrane flippases in plants : A study to understand membrane biogenesis [BT/PR11387/PBD/16/823/2008]","Dr. Sathyanarayana N Gummadi
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","18/09/2009","3 Years 6 Month",3333020.0
1674.0,"PLANT BIOTECHNOLOGY","Functional evaluation of Remusatia vivipara and Sclerotium rolfsii lectin in transgenic tomato for nematode and insect control. [BT/PR/13264/PBD/16/871/2009]","Dr. Ramesh S Bhat
University of Agricultural Sciences, Dharwad  Dharwad, Karnataka-580005","21/09/2010","3 Years 0 Month",2798628.0
1675.0,"PLANT BIOTECHNOLOGY","TO DETERMINE THE MOLECULAR BASIS OF POTASSIUM NUTRITION / SIGNALING AND FUNCTIONAL ANALYSIS OF THIS CALCIUM MEDIATED CBL-CIPK NETWORK UNDER POTASSIUM DEFICIENT CONDITION [BT/PR11374/PBD/16/821/2008]","Dr. Girdhar Kumar Pandey
Delhi University, South Campus New Delhi, Delhi-110021","22/09/2009","3 Years 6 Month",5062800.0
1676.0,"PLANT BIOTECHNOLOGY","Metabolomics of tomato with special reference to fruit quality. [BT/PR/11673/PBD/16/829/2008]","Dr. Avverahally Thammanna Sadashiva
Indian Institute of Horticultural Research Bangalore, Karnataka-560089","22/10/2010","3 Years 0 Month",4421016.0
1677.0,"PLANT BIOTECHNOLOGY","Integrated Transcriptiomics, Proteomics, Metabolomics and lonomics appraoch to understand respone of rice seedlings towards salinity stress. [BT/PR/11677/PBD/16/832/2008]","Dr. Ashwani  Pareek
Jawaharlal Nehru University New Delhi, Delhi-110067","23/09/2010","3 Years 0 Month",24522598.0
1678.0,"PLANT BIOTECHNOLOGY","Transformation of Lycopersicon esculentum (tomato) with an insecticidal gene from the bacterium Xenorhabdus nematophia for development of resistnace against Helicoverpa armigera. [BT/PR11260/PBD/16/819/2008]","Dr. Neera Bhalla Sarin
Jawaharlal Nehru University New Delhi, Delhi-110067","23/09/2010","3 Years 0 Month",4421048.0
1679.0,"PLANT BIOTECHNOLOGY","Creating a Genomics platform for Apple research in India. [BT/PR11040/PBD/16/812/2008]","Dr. Ramesh K Aggarwal
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","24/05/2010","5 Years 0 Month",42089256.0
1680.0,"PLANT BIOTECHNOLOGY","Identification and validation of markers linked to fruit quality of guava (Psidium guajava L.)  [BT/PR/13564/PBD/16/878/2010]","Dr. C  Aswath
Indian Institute of Horticultural Research Bangalore, Karnataka-560089","24/09/2010","3 Years 0 Month",2575008.0
1681.0,"PLANT BIOTECHNOLOGY","Identification and characterization of Pathogen Associated Molecular Patterns (PAMPs) and candidate effector genes in Powdery mildew fungus (Erysiphe pisi) through transcriptome profiling. [BT/PR/12641/PBD/16/848/2009]","Dr. Ragiba  Makandar
University of Hyderabad Hyderabad, Andhra Pradesh-500046","25/01/2011","3 Years 0 Month",6835048.0
1682.0,"PLANT BIOTECHNOLOGY","Metabolic profiling to discriminate the disease resistance in rice against blast diseases. [BT/PR/11683/PBD/16/835/2008]","Dr. V  Paranidharan
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","25/08/2010","3 Years 0 Month",4680012.0
1683.0,"PLANT BIOTECHNOLOGY","Marker Assisted Germplasm Characterization of Bhut Jolokia, an indigenous Chilli Variety of Assam [BT/PR/13589/PBD/16/880/2009]","Dr. Shashi Bhushan Tripathi
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","26/08/2011","3 Years 0 Month",7308048.0
1684.0,"PLANT BIOTECHNOLOGY","Isolation and functional characterization of genes from necrotrophic chickpea-blight fungus Ascochyta rabiei which involved in pathogenesis during compatible interactions. [BT/PR10605/PBD/16/791/2008]","Dr. Praveen  Verma
National Institute of Plant Genome Research New Delhi, Delhi-110067","27/03/2009","4 Years 3 Month",5506024.0
1685.0,"PLANT BIOTECHNOLOGY","'Or' gene introgression for enhancing-B carotene in Indian cauliflower using marker assisted backcross breeding. [BT/PR10925/PBD/16/797/2008]","Dr. Pritam  Kalia
Indian Agricultural Research Institute New Delhi, Delhi-110012","28/05/2010","3 Years 0 Month",4605048.0
1686.0,"PLANT BIOTECHNOLOGY","Computational Core for Plant Metabolomics [BT/PR14715/PBD/16/903/2010]","Prof. Indira  Ghosh
Jawaharlal Nehru University New Delhi, Delhi-110067","28/09/2011","5 Years 0 Month",45949500.0
1687.0,"PLANT BIOTECHNOLOGY","Tomato Metabolome Network Group [BT/PR11671/PBD/16/828/2008]","Dr. RP  Sharma
University of Hyderabad Hyderabad, Andhra Pradesh-500046","28/09/2011","5 Years 0 Month",180608192.0
1688.0,"PLANT BIOTECHNOLOGY","Genetic Mapping of resistance to stem rot disease in jute [BT/PR3654/PBD/16/949/2011]","Dr. Pratik  Satya
Central Research Institute For Jute & Allied Fibres Kolkata, West Bengal-700120","28/09/2012","3 Years 0 Month",7905200.0
1689.0,"PLANT BIOTECHNOLOGY","Development of microsatellite markers and assessment of population genetic diversity for economically important forest species (Parkia roxburghii) in North East India. [BT/PR3324/PBD/16/951/2011]","Dr. Nicolee  Lyngdoh
College of Horticulture and Forestry Pasighat, Arunachal Pradesh-173230","28/09/2012","3 Years 0 Month",4170200.0
1690.0,"PLANT BIOTECHNOLOGY","Identification of cytoplasmic male sterility-regulated novel Open reading frames (ORF) in vegetable crops by mitochondrial DNA sequencing [BT/PR4873/PBD/16/964/2012]","Dr. Lakshmana  Reddy
Indian Institute of Horticultural Research Bangalore, Karnataka-560089","28/09/2012","3 Years 0 Month",3440400.0
1691.0,"PLANT BIOTECHNOLOGY","Development of Mapping population and identification of QTLs for extended shelf life of tomato (Solanum lycopersicumL.) [BT/PR3405/PBD/16/943/2011]","Dr. PH Ramajini  Gowda
University of Agricultural Sciences, Bangalore Bangalore, Karnataka-560065","29/03/2012","3 Years 0 Month",3582000.0
1692.0,"PLANT BIOTECHNOLOGY","Exploring the Global Changes in Transcriptome and Proteome in Transgenic Brassica juncea Plants with Altered Expression of Genes Invloved in Osmosensing (BjHk1) and Ion Homeostasis (BjSOS2). [BT/PR/12570/PBD/16/03/2009]","Dr. Ashwani  Pareek
Jawaharlal Nehru University New Delhi, Delhi-110067","29/09/2010","3 Years 0 Month",6466048.0
1693.0,"PLANT BIOTECHNOLOGY","Molecular and Morphological Characterization of Brassica Transgenic Lines with augmented expression of FT and Generation of Brassica transgenic lines with reduced FT expressions for delayed flowering [BT/PR15052/PBD/16/908/2011]","Dr. Anandita  Singh
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","29/09/2011","3 Years 0 Month",4327000.0
1694.0,"PLANT BIOTECHNOLOGY","Studies on drought resistance strategy in seedlings of Teak (Tectona grandis) species and selection of improved genotype for forest management [BT/PR3544/PBD/16/953/2011]","Dr. Siddhartha Proteem Saikia
North East Institute of Science And Technology Jorhat, Assam-785006","29/09/2012","3 Years 0 Month",7163000.32
1695.0,"PLANT BIOTECHNOLOGY","Development of molecular markers linked to the nuclear male sterility gene  ms10 in chilli pepper (Capsicum annuum L.) [BT/PR2055/PBD/16/932/2011]","Dr. Major Singh Dhaliwal
Punjab Agricultural University Ludhiana, Punjab-141004","30/04/2012","3 Years 0 Month",3339000.0
1696.0,"PLANT BIOTECHNOLOGY","Comparative metabolite profiling of transgenic and non-transgenic potato expressing AmA1 protein. [BT/PR/11676/PBD/16/831/2008]","Dr. Subhra  Chakraborty
National Institute of Plant Genome Research New Delhi, Delhi-110067","30/08/2010","3 Years 0 Month",3590024.0
1697.0,"PLANT BIOTECHNOLOGY","Sequence-Indexed Library Mutations in the Tomato Genome. [BT/PR/6803/PBD/16/621/2005]","Dr. RP  Sharma
University of Hyderabad Hyderabad, Andhra Pradesh-500046","31/08/2010","3 Years 0 Month",19567080.0
1698.0,"RAPID - GENERAL BIOTECHNOLOGY","Chemical modification of some metal ion binding peptides with photoactive molecules, and investigation on their photoinduced DNA damage and photoenhanced antimicrobial activity. [BT/PR13316/GBD/27/251/2009]","Dr. Halan  Prakash
Birla Institute of Technology & Sciences, Goa Goa, Goa-403726","01/01/2010","3 Years 6 Month",2124012.0
1699.0,"RAPID - GENERAL BIOTECHNOLOGY","Evaluation of efficacy of cultivated oral mucosal epithelial cells transplantation in patients with acuteocular burns as compared to amniotic membrane transplantation. [BT/PR13137/GBD/27/205/2009]","Dr. Pankaj  Gupta
Post Graduate Institute of Medical Education and Research Chandigarh, Chandigarh-160012","01/01/2010","3 Years 3 Month",2278036.0
1700.0,"RAPID - GENERAL BIOTECHNOLOGY","Functional characterization of a novel GTPase YOR205c (GEP3), a mitochondrial ribosome associated factor in sacchromyces cerevisiae [BT/PR15104/GBD/27/315/2011]","Dr. Kaustuv  Datta
Delhi University, South Campus New Delhi, Delhi-110021","01/03/2011","3 Years 0 Month",3640000.0
1701.0,"RAPID - GENERAL BIOTECHNOLOGY","Regulation and role of Siah proteins in Helicobacter pylori-mediated gastric pathogenesis [BT/PR15092/GBD/27/311/2011]","Dr. Asima  Bhattacharyya
National Institute of Science Education And Research Bhubaneswar, Orissa-751005","01/03/2011","3 Years 0 Month",2796004.0
1702.0,"RAPID - GENERAL BIOTECHNOLOGY","Investigation into the modulation of TGFb signaling by capsaicin and engenol using the p53/p21 axis in gastric carcinoma [BT/PR15116/GBD/27/327/2011]","Dr. Deba Prasad Mandal
West Bengal State University Kolkata, West Bengal-700126","01/03/2011","3 Years 0 Month",3936016.0
1703.0,"RAPID - GENERAL BIOTECHNOLOGY","Computational studies on reverse transcription Initiation complex of HIV-1: tRNALys3 in the presence of anti sense molecules [BT/PR15078/GBD/27/301/2011]","Dr. Uddhavesh B Sonavane
Centre For Development of Advanced Computing Pune, Maharashtra-411007","01/06/2011","3 Years 0 Month",1392016.0
1704.0,"RAPID - GENERAL BIOTECHNOLOGY","Cloning Expression and bioprocess optimization of recombinant human interleukin -7 (hIL-7) in pichia pastoris yeast expression system [BT/PR15076/GBD/27/299/2011]","Dr. Yogender Pal Khasa
Delhi University, South Campus New Delhi, Delhi-110021","01/06/2011","3 Years 0 Month",3050000.0
1705.0,"RAPID - GENERAL BIOTECHNOLOGY","Chormatin opening by satellite DNA-binding drugs in  Bombyx mori and Antheraea mylitta and its importance in seribiotechnology [BT/PR15146/GBD/27/337/2011]","Dr. M  Anitha
GITAM University Visakhapatnam, Andhra Pradesh-530045","01/06/2011","3 Years 0 Month",1451000.0
1706.0,"RAPID - GENERAL BIOTECHNOLOGY","Over riding drug resistance in visceral leishmaniasis  by combinational therapy with suboptimal dose of HMG-CoA reductase inhibitor, statin and trivalent Chromium complex involving Src-family tyrosi [BT/PR15025/GBD/27/284/2010]","Dr. Mondipa  Ghosh
National Institute of Technology, Durgapur Durgapur West Bangal, West Bengal-713209","01/06/2011","3 Years 0 Month",2506012.0
1707.0,"RAPID - GENERAL BIOTECHNOLOGY","Understanding the Transcriptional Regulation and Identification of global regulators of PE/PPE genes of Mycobacterium tuberculosis [BT/PR15166/GBD/27/352/2011]","Dr. Vaibhav  Vindal
University of Hyderabad Hyderabad, Andhra Pradesh-500046","01/06/2011","3 Years 0 Month",2728004.0
1708.0,"RAPID - GENERAL BIOTECHNOLOGY","Molecular cloning and functional characterization of the annexin family genesfrom Pearl millet (Pennisetum glaucum) under abiotic stress [BT/PR13181/GBD/27/215/2009]","Dr. Sharmistha  Barthakur
National Research Centre On Plant Biotechnology New Delhi, Delhi-110012","02/06/2010","3 Years 0 Month",3344012.0
1709.0,"RAPID - GENERAL BIOTECHNOLOGY","Novel mycobacterial cell lysis (re) agent: Characterization of the 54.8 kDa gp10 of mycobateriophage [BT/PR14996/GBD/27/277/2010]","Dr. Vikas  Jain
Indian Institute of Science Education and Research (IISER), Bhopal Bhopal, Madhya Pradesh-462023","03/02/2011","3 Years 0 Month",2468020.0
1710.0,"RAPID - GENERAL BIOTECHNOLOGY","Autophagy influences hyperglycemia/huyperinsulinemia induced adipocyte dysfunction: A possible mechanism of insulin resistance [BT/PR15162/GBD/27/348/2011]","Dr. J  Tamilselvan
Anna University Chennai, Tamilnadu-600025","03/03/2011","3 Years 0 Month",3217016.0
1711.0,"RAPID - GENERAL BIOTECHNOLOGY","Unraveling the cross talk between inflammation and apoptosis: Focusing on regulation of inflammatory mediators and apoptosis in cancer [BT/PR15083/GBD/27/306/2011]","Dr. Chandramani  Pathak
INDIAN INSTITUTE OF ADVANCED RESEARCH Gandhinagar, Gujarat-382007","03/03/2011","3 Years 0 Month",2536012.0
1712.0,"RAPID - GENERAL BIOTECHNOLOGY","Development of user friendly diagnostic kit for detection of Bovine Herpes Virus-1 [BT/PR15161/GBD/27/347/2011]","Dr. Ajay  Kumar
INDIAN VETERINARY RESEARCH INSTITUTE- UTTAR PRADESH Bareilly, Uttar Pradesh-243122","03/03/2011","3 Years 0 Month",1830016.0
1713.0,"RAPID - GENERAL BIOTECHNOLOGY","Developing phytase-rich tomatoes with enhanced  mineral bioavailability for human nutrition [BT/PR15165/GBD/27/351/2011]","Dr. Tanushri  Kaul
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","03/03/2011","3 Years 0 Month",2343012.0
1714.0,"RAPID - GENERAL BIOTECHNOLOGY","Developing phytase-rich tomatoes with enhanced mineral bioavailability for human nutrition [BT/PR15165/GBD/27/351/2011]","Dr. Tanushri  Kaul
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","03/03/2011","3 Years 0 Month",2343012.0
1715.0,"RAPID - GENERAL BIOTECHNOLOGY","Combined approaches on Acetyl CoA carboxylase activity for enhanced lipid production in microalgae [BT/PR15093/GBD/27/312/2011]","Dr. Dhandapani  Ramamurthy
Periyar University Salem Salem, Tamilnadu-636011","03/03/2011","3 Years 0 Month",1611016.0
1716.0,"RAPID - GENERAL BIOTECHNOLOGY","Crystallographic structure determination of Archaeal CRISPR-Cas Proteins (RGYI) [BT/PR6096/GBD/27/364/2012]","Dr. Manisha  goel
Delhi University, South Campus New Delhi, Delhi-110021","03/09/2012","3 Years 0 Month",2922000.0
1717.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of Zinc finger transcription factor Zic3 in generating neural stem cells like cells from dental pulp stem cells. (RGYI) [BT/PR6165/GBD/27/369/2012]","Dr. Anujith  Kumar
MANIPAL INSTITUTE OF REGENERATIVE MEDICINE Bangalore, Karnataka-560065","03/09/2012","3 Years 0 Month",2820800.0
1718.0,"RAPID - GENERAL BIOTECHNOLOGY","Development of RNAi-mediated resistance in Sunflower against Sunflower necrosis virus (SNV) [BT/PR3900/GBD/27/386/2012]","Dr. Rahul Lahu Chavhan
Marathwada Agricultural University Parbhani, Maharashtra-431402","03/09/2012","3 Years 0 Month",3372000.0
1719.0,"RAPID - GENERAL BIOTECHNOLOGY","Toll-like receptors and signalling mechanisms of T. vaginalis isolates from symptomatic
and asymptomatic infected women. (RGYI) [BT/PR6301/GBD/27/396/2012]","Dr. Manisha  Yadav
Dr. B.R. Ambedkar Centre For Biomedical Research, University of Delhi Delhi, Delhi-110007","04/02/2013","3 Years 0 Month",3250000.0
1720.0,"RAPID - GENERAL BIOTECHNOLOGY","Evaluation of success of indirect pulp capping using three different materials: A clinical study using CBCT [BT/PR15096/GBD/27/314/2011]","Dr. Vijay P Mathur
All India Institute Of Medical Sciences New Delhi, Delhi-110029","04/03/2011","3 Years 0 Month",1233008.0
1721.0,"RAPID - GENERAL BIOTECHNOLOGY","Bio prospecting entophytic microorganisms from cereal crops of NE India as potential bio-inoculants in sustainable agricultural practice [BT/PR15142/GBD/27/333/2011]","Dr. S Indira Devi
INSTITUTE OF BIORESOURCES AND SUSTAINABLE DEVELOPMENT Imphal, Manipur-795001","04/03/2011","3 Years 0 Month",2159012.0
1722.0,"RAPID - GENERAL BIOTECHNOLOGY","Molecular diversity of heterotrophic pigmented bacteria from the estuaries of Tamil Nadu and its Bio-Prospective implication (RGYI) [BT/PR15135/GBD/27/331/2011]","Dr. N Siva Kumar
Madurai Kamraj University Madurai, Tamilnadu-625021","04/03/2011","3 Years 0 Month",2816001.6
1723.0,"RAPID - GENERAL BIOTECHNOLOGY","Molecular characterization through RAPD-PCR technique of wide range of entomopathogenic fungi against the rice leaffolder complex with rice defense enzyme assay: Implication for integrated managem [BT/PR13126/GBD/27/194/2009]","Dr. Senthil  Nathan
Manonmaniam Sundaranar University Tirunelveli, Tamilnadu-627012","04/12/2009","3 Years 6 Month",1564000.16
1724.0,"RAPID - GENERAL BIOTECHNOLOGY","Characterization of the novel interaction between checkpoint protein TopBP1 and anti-apoptotic protein, Api5 [BT/PR13244/GBD/27/228/2009]","Dr. Mayurika  Lahiri
Indian Institute of Science Education and Research (IISER), Pune Pune, Maharashtra-411021","05/01/2010","3 Years 6 Month",1898016.0
1725.0,"RAPID - GENERAL BIOTECHNOLOGY","Micro-Regulatory Networks In Leukemia Stem Cells (RGYI) [BT/PR6572/GBD/27/439/2012]","Dr. Zhumur  Ghosh
Bose Institute Kolkata, West Bengal-700054","05/02/2013","3 Years 0 Month",2792400.0
1726.0,"RAPID - GENERAL BIOTECHNOLOGY","Bioinspired Magnetic and Noble Metal-Based Hybrids Nanomaterials
(MNHs): Synthesis, Functionalization and its Application to Biomedical and
Environmental Biotechnology (RGYI) [BT/PR6433/GBD/27/413/2012]","Dr. Sujoy Kumar Das
Central Leather Research Institute Chennai, Tamilnadu-600041","05/02/2013","3 Years 0 Month",3980000.0
1727.0,"RAPID - GENERAL BIOTECHNOLOGY","Explotation of native namatophagous fungus for the management of plant parasitic nematodes [BT/PR15108/GBD/27/319/2011]","Dr. K  Senthamizh
Anbil Dharmalingam Agricultural College and Research Institute Tiruchirappalli, Tamilnadu-620009","06/06/2011","3 Years 0 Month",1615020.0
1728.0,"RAPID - GENERAL BIOTECHNOLOGY","Identification of acute phase proteins as biomarkers in sub-clinical bovine mastitis [BT/PR15152/GBD/27/342/2011]","Dr. Geetanjali  Singh
CSK Himachal Pradesh Krishi Vishvavidyalaya  Palampur, Himachal Pradesh-176062","06/06/2011","3 Years 0 Month",3009012.0
1729.0,"RAPID - GENERAL BIOTECHNOLOGY","Molecular Characterization of arabidopis flowering time gene hua2 a putative pre mRNA processing factory [BT/PR15079/GBD/27/302/2011]","Dr. Uday Bhaskar Sajja
DR. B.R. Ambedkar University Agra, Andhra Pradesh-282003","06/06/2011","3 Years 0 Month",1123500.0
1730.0,"RAPID - GENERAL BIOTECHNOLOGY","Identification of the potential vaccine candidate antigens of clostridium chauvoei [BT/PR15176/GBD/27/358/2011]","Dr. Viswas K N
INDIAN VETERINARY RESEARCH INSTITUTE- UTTAR PRADESH Bareilly, Uttar Pradesh-243122","06/06/2011","3 Years 0 Month",2370012.0
1731.0,"RAPID - GENERAL BIOTECHNOLOGY","Nanoparticles: Biochemical and genetic studies for subsequent use in humans [BT/PR15094/GBD/27/313/2011]","Dr. Rama Krishna Devaki
Kamineni Institute of Medical Sciences Nalgonda, Andhra Pradesh-508254","06/06/2011","3 Years 0 Month",2204024.0
1732.0,"RAPID - GENERAL BIOTECHNOLOGY","Isolation and Characterization of Human Dental Pulp stem cells for implications in regenerative medicine [BT/PR15158/GBD/27/344/2011]","Dr. T T Sivakumar
PMS College of Dental Science & Research Thiruvananthapuram, Kerala-695028","06/06/2011","2 Years 0 Month",2055000.0
1733.0,"RAPID - GENERAL BIOTECHNOLOGY","Calcium phosphate nanoparticles co-encapsulating neuro therapeutic gene and drug for targeted therapy of neurodegenerative disorders [BT/PR15115/GBD/27/326/2011]","Dr. Indrajit  Roy
University of Delhi, North Campus Delhi, Delhi-110007","06/06/2011","3 Years 0 Month",2428004.0
1734.0,"RAPID - GENERAL BIOTECHNOLOGY","Studies on Potential Oncogenic Role of
the Transcription Factor Nsep1 Association
With the Overexpressed Rps27a in Human
Hepatocellular Carcinoma (HCC). (RGYI) [BT/PR6112/GBD/27/371/2012]","Dr. G  MATHAN
Bharathidasan University Tiruchirappalli, Tamilnadu-620024","06/09/2012","3 Years 0 Month",2707600.0
1735.0,"RAPID - GENERAL BIOTECHNOLOGY","Understanding the molecular basis of glandular trichome development:
Isolation and characterization of trichome development-related transcription factor gene
homolog(s) from Artemisia annua. (RGYI) [BT/PR6024/GBD/27/375/2012]","Dr. Vikrant  Gupta
Central Instt.of Medicinal & Aromatic Plants Lucknow, Uttar Pradesh-226015","06/09/2012","3 Years 0 Month",3095200.0
1736.0,"RAPID - GENERAL BIOTECHNOLOGY","Zinc pyrithione-induced cardioprotection in ischemia/reperfusion injury: Role of unfolded protein response and proteasome function in regulating ErbB2 protein expression.(RGYI) [BT/PR6316/GBD/27/401/2012]","Dr. SREEDHAR  BODIGA
Koneru Lakshmaiah College of Engineering Guntur, Andhra Pradesh-522502","06/09/2012","3 Years 0 Month",4500000.0
1737.0,"RAPID - GENERAL BIOTECHNOLOGY","In vitro techniques for overcoming the fertilization barriers of Jatropha to develop interspecific hybrids (RGYI) [BT/PR6149/GBD/27/365/2012]","Dr. hemalatha Palanivel palanivel
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","06/09/2012","3 Years 0 Month",1693000.0
1738.0,"RAPID - GENERAL BIOTECHNOLOGY","Identification of p38 MAPK interacting proteins involved in inflammation mediated cell death. [BT/PR6207/GBD/27/381/2012]","Dr. Anbalagan  M
Vellore Institute of Technology Vellore, Tamilnadu-632014","06/09/2012","3 Years 0 Month",1981000.0
1739.0,"RAPID - GENERAL BIOTECHNOLOGY","Studies on the mechanisms of the translational regulation of the cold shock response genes in human entero-pathogenic bacteria [BT/PR15150/GBD/27/341/2011]","Dr. Partha Pratim Dutta
Indian Institute of Science Education and Research, West Bengal Ranaghat, West Bengal-741252","07/06/2011","3 Years 0 Month",1889000.0
